,,,Forecasting
Date,Views,,
06-01-2022,58,,
06-02-2022,63,,
06-03-2022,67,,
06-04-2022,71,,
06-05-2022,61,,
06-06-2022,87,,
06-07-2022,92,,
06-08-2022,98,,
06-09-2022,100,,
06-10-2022,119,,
06-11-2022,103,,
06-12-2022,118,,
07-12-2022,134,,
08-12-2022,152,,
09-12-2022,151,,
10-12-2022,162,,
11-12-2022,149,,
12-12-2022,174,,
13-12-2022,179,,
14-12-2022,198,,
15-12-2022,195,,
16-12-2022,186,,
17-12-2022,156,,
18-12-2022,171,,
19-12-2022,308,,
20-12-2022,320,,
21-12-2022,458,,
22-12-2022,584,,
23-12-2022,795,,
24-12-2022,831,,
25-12-2022,553,,
26-12-2022,545,,
27-12-2022,549,,
28-12-2022,697,,
29-12-2022,979,,
30-12-2022,953,,
31-12-2022,918,,
01-01-2023,703,,
02-01-2023,1051,,
03-01-2023,1251,,
04-01-2023,1353,,
05-01-2023,1187,,
06-01-2023,1206,,
07-01-2023,906,,
08-01-2023,809,,
09-01-2023,663,,
10-01-2023,622,,
11-01-2023,726,,
12-01-2023,895,,
13-01-2023,916,,
14-01-2023,893,,
15-01-2023,751,,
16-01-2023,988,,
17-01-2023,904,,
18-01-2023,709,,
19-01-2023,784,,
20-01-2023,765,,
21-01-2023,688,,
22-01-2023,1310,,
23-01-2023,1204,,
24-01-2023,932,,
25-01-2023,966,,
26-01-2023,793,,
27-01-2023,780,,
28-01-2023,935,,
29-01-2023,715,,
30-01-2023,723,,
31-01-2023,713,,
01-02-2023,733,,
02-02-2023,1021,,
03-02-2023,820,,
04-02-2023,695,,
05-02-2023,771,,
06-02-2023,727,,
07-02-2023,773,,
08-02-2023,911,,
09-02-2023,928,,
10-02-2023,958,,
11-02-2023,796,,
12-02-2023,839,,
13-02-2023,1041,,
14-02-2023,1322,,
15-02-2023,1344,,
16-02-2023,992,,
17-02-2023,815,,
18-02-2023,943,,
19-02-2023,1066,,
20-02-2023,1039,,
21-02-2023,972,,
22-02-2023,1058,,
23-02-2023,961,,
24-02-2023,931,,
25-02-2023,887,,
26-02-2023,823,,
27-02-2023,807,,
28-02-2023,1266,,
01-03-2023,1827,,
02-03-2023,1289,,
03-03-2023,973,,
04-03-2023,841,,
05-03-2023,742,,
06-03-2023,1050,,
07-03-2023,960,,
08-03-2023,1010,,
09-03-2023,1017,,
10-03-2023,1130,,
11-03-2023,961,,
12-03-2023,934,,
13-03-2023,821,,
14-03-2023,793,,
15-03-2023,724,,
16-03-2023,774,,
17-03-2023,1146,,
18-03-2023,934,,
19-03-2023,689,,
20-03-2023,892,,
21-03-2023,982,,
22-03-2023,680,,
23-03-2023,614,,
24-03-2023,743,,
25-03-2023,970,,
26-03-2023,724,,
27-03-2023,859,,
28-03-2023,1412,,
29-03-2023,1219,,
30-03-2023,987,,
31-03-2023,1056,,
01-04-2023,1050,,
02-04-2023,1164,,
03-04-2023,1214,,
04-04-2023,1510,,
05-04-2023,1293,,
06-04-2023,1498,,
07-04-2023,1377,,
08-04-2023,1111,,
09-04-2023,1127,,
10-04-2023,1356,,
11-04-2023,1281,,
12-04-2023,1325,,
13-04-2023,1123,,
14-04-2023,1071,,
15-04-2023,1064,,
16-04-2023,916,,
17-04-2023,781,,
18-04-2023,550,,
19-04-2023,631,,
20-04-2023,871,,
21-04-2023,940,,
22-04-2023,986,,
23-04-2023,1140,,
24-04-2023,1235,,
25-04-2023,1109,,
26-04-2023,1082,,
27-04-2023,1088,,
28-04-2023,911,,
29-04-2023,970,,
30-04-2023,886,,
01-05-2023,1151,,
02-05-2023,2322,,
03-05-2023,1910,,
04-05-2023,1444,,
05-05-2023,1093,,
06-05-2023,1169,,
07-05-2023,1051,,
08-05-2023,1118,,
09-05-2023,1181,,
10-05-2023,1303,,
11-05-2023,1104,,
12-05-2023,1024,,
13-05-2023,1059,,
14-05-2023,1036,,
15-05-2023,1119,,
16-05-2023,1112,,
17-05-2023,1197,,
18-05-2023,1050,,
19-05-2023,1017,,
20-05-2023,992,,
21-05-2023,951,,
22-05-2023,1031,,
23-05-2023,1111,,
24-05-2023,1084,,
25-05-2023,1357,,
26-05-2023,1418,,
12-01-2022,1914,,
12-02-2022,1276,,
12-03-2022,1480,,
12-04-2022,1735,,
12-05-2022,1489,,
12-06-2022,1469,,
12-07-2022,1389,,
12-08-2022,1179,,
12-09-2022,1234,,
12-10-2022,1677,,
12-11-2022,1966,,
12-12-2022,1878,,
13-12-2022,1645,,
14-12-2022,1498,,
15-12-2022,1465,,
16-12-2022,1463,,
17-12-2022,2052,,
18-12-2022,1567,,
19-12-2022,1731,,
20-12-2022,1560,,
21-12-2022,1408,,
22-12-2022,1392,,
23-12-2022,1501,,
24-12-2022,1807,,
25-12-2022,1583,,
26-12-2022,1727,,
27-12-2022,1742,,
28-12-2022,1908,,
29-12-2022,1604,,
30-12-2022,1822,,
31-12-2022,2037,,
01-01-2023,2138,,
02-01-2023,2077,,
03-01-2023,1894,,
04-01-2023,1934,,
05-01-2023,1855,,
06-01-2023,1828,,
07-01-2023,1824,,
08-01-2023,2029,,
09-01-2023,1917,,
01-10-2023,1984,,
01-11-2023,2003,,
01-12-2023,1812,,
02-12-2023,1867,,
03-12-2023,1984,,
